Company,Job Title,Location,Salary (Est.),Job Posting Link,Application Date,Application Status,Follow-Up Date,Resume Optimized?,Notes,Interview Stage,Job Source,Contact Name,Follow-Up Sent?
Overtime,Video Editor,"New York, NY",65k-75k,,2025-07-22,Applied,,Yes,,,Chat GPT,,No
Wave Sports & Entertainment,Multi-Sport Social Media Producer / Editor,Remote,3k-5k a month,,2025-07-22,Applied,2025-07-22,No,Contract job,,,,No
